tahun,bulan,jenis_komoditas,nama_komoditas,nilai_ekspor
2005,"Januari","Hasil pertanian","Biji coklat",32191
2005,"Januari","Hasil pertanian","Udang",58881
2005,"Januari","Hasil pertanian","Biji kopi",32690
2005,"Januari","Hasil pertanian","Ikan dan lain-lain",17382
2005,"Januari","Hasil pertanian","Rempah-rempah",11922
2005,"Januari","Hasil pertanian","Teh",8575
2005,"Januari","Hasil pertanian","Bahan nabati",567
2005,"Januari","Hasil pertanian","Buah-buahan",239
2005,"Januari","Hasil pertanian","Tembakau",19533
2005,"Januari","Hasil pertanian","Sayur-sayuran",1027
2005,"Januari","Hasil pertanian","Damar dan getah damar",963
2005,"Januari","Hasil pertanian","Karet alam",977
2005,"Januari","Hasil pertanian","Hasil pertanian lainnya",17737
2005,"Januari","Hasil industri","Minyak sawit",319702
2005,"Januari","Hasil industri","Tekstil dan produk tekstil",463031
2005,"Januari","Hasil industri","Peralatan listrik, alat ukur dan optik",507367
2005,"Januari","Hasil industri","Produk logam dasar ",328432
2005,"Januari","Hasil industri","Karet olahan ",28125
2005,"Januari","Hasil industri","Kertas dan barang dari kertas",23736
2005,"Januari","Hasil industri","Makanan olahan",146916
2005,"Januari","Hasil industri","Bahan kimia",252777
2005,"Januari","Hasil industri","Produk kayu olahan",218973
2005,"Januari","Hasil industri","Alas kaki",111962
2005,"Januari","Hasil industri","Damar tiruan, bahan plastik",103002
2005,"Januari","Hasil industri","Furnitur",152061
2005,"Januari","Hasil industri","Kapal laut dan sejenisnya",2255
2005,"Januari","Hasil industri","Bahan kertas",20
2005,"Januari","Hasil industri","Suku cadang kendaraan",50127
2005,"Januari","Hasil industri","Kendaraan bermotor roda 4 dan lebih",76767
2005,"Januari","Hasil industri","Emas batangan",0
2005,"Januari","Hasil industri","Suku cadang mesin",64612
2005,"Januari","Hasil industri","Asam berlemak",21655
2005,"Januari","Hasil industri","Komputer dan bagiannya",0
2005,"Januari","Hasil industri","Sabun mandi dan cuci",19965
2005,"Januari","Hasil industri","Minyak atsiri dan lainnya",9269
2005,"Januari","Hasil industri","Gelas dan barang dari gelas",29334
2005,"Januari","Hasil industri","Pupuk",11336
2005,"Januari","Hasil industri","Perlengkapan olahraga",13738
2005,"Januari","Hasil industri","Produk keramik",18795
2005,"Januari","Hasil industri","Makanan ternak",4796
2005,"Januari","Hasil industri","Margarin dan lemak lainnya",9334
2005,"Januari","Hasil industri","Produk farmasi",13424
2005,"Januari","Hasil industri","Barang dari logam mulia",4970
2005,"Januari","Hasil industri","Kulit dan barang dari kulit",8479
2005,"Januari","Hasil industri","Preparat pembasmi kuman",276
2005,"Januari","Hasil industri","Pesawat udara dan bagiannya",23542
2005,"Januari","Hasil industri","Bahan celup organik sintetik",7387
2005,"Januari","Hasil industri","Semen",9122
2005,"Januari","Hasil industri","Kendaraan bermotor roda 2 dan 3",23736
2005,"Januari","Hasil industri","Barang anyaman",0
2005,"Januari","Hasil industri","Rotan olahan",0
2005,"Januari","Hasil industri","Peti kemas",0
2005,"Januari","Hasil industri","Gliserol dan larutan alkali",0
2005,"Januari","Hasil industri","Hasil industri lainnya",990433
2005,"Januari","Hasil pertambangan dan sektor lainnya","Batubara",289563
2005,"Januari","Hasil pertambangan dan sektor lainnya","Biji tembaga",305265
2005,"Januari","Hasil pertambangan dan sektor lainnya","Biji nikel",5056
2005,"Januari","Hasil pertambangan dan sektor lainnya","Bauksit",328
2005,"Januari","Hasil pertambangan dan sektor lainnya","Granit",1648
2005,"Januari","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",33831
2005,"Januari","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",948
2005,"Januari","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",29510
2005,"Februari","Hasil pertanian","Biji coklat",15765
2005,"Februari","Hasil pertanian","Udang",56004
2005,"Februari","Hasil pertanian","Biji kopi",30670
2005,"Februari","Hasil pertanian","Ikan dan lain-lain",15790
2005,"Februari","Hasil pertanian","Rempah-rempah",12720
